               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,             0.01937,             0.01659,           0.0035839,             0.76557,             0.73892,             0.77763,             0.57799,            0.026906,            0.018595,              0.0189,           0.0092059,           0.0092059,           0.0092059
                  98,            0.020209,            0.015167,           0.0040841,             0.80692,             0.78216,             0.81969,              0.6249,            0.025422,             0.01772,             0.01701,           0.0091898,           0.0091898,           0.0091898
                  99,            0.018837,            0.014604,           0.0041967,             0.83061,             0.72574,             0.79932,             0.59874,            0.026099,             0.01967,            0.023064,           0.0091735,           0.0091735,           0.0091735
                 100,             0.01908,            0.014264,           0.0039698,             0.83724,             0.74444,             0.81048,             0.60882,            0.025662,            0.018583,            0.018135,           0.0091571,           0.0091571,           0.0091571
                 101,            0.017755,            0.013089,           0.0036858,              0.7919,              0.7672,             0.80937,             0.61572,            0.025422,            0.018879,            0.020192,           0.0091406,           0.0091406,           0.0091406
                 102,            0.019688,            0.014568,           0.0040422,             0.78602,              0.7851,             0.80932,             0.60188,            0.025385,            0.017293,            0.017345,           0.0091239,           0.0091239,           0.0091239
                 103,            0.019276,            0.014145,           0.0035192,              0.7865,              0.7906,             0.82318,             0.61991,            0.025342,            0.017134,            0.016929,           0.0091071,           0.0091071,           0.0091071
                 104,            0.018504,            0.013511,           0.0036413,             0.82097,             0.78825,             0.83095,             0.62863,            0.025044,            0.017202,            0.016213,           0.0090901,           0.0090901,           0.0090901
                 105,            0.018556,            0.014053,            0.003441,              0.8555,             0.78109,             0.83034,             0.62429,            0.026088,            0.018633,            0.015523,            0.009073,            0.009073,            0.009073
                 106,             0.01781,            0.014029,           0.0034587,             0.85509,              0.7651,             0.84099,             0.63637,            0.025676,            0.018243,            0.015263,           0.0090557,           0.0090557,           0.0090557
                 107,            0.018239,            0.013556,           0.0031568,             0.81445,             0.78741,             0.83413,             0.61901,             0.02695,            0.018581,            0.016568,           0.0090383,           0.0090383,           0.0090383
                 108,            0.019199,            0.014404,           0.0038404,             0.79009,             0.80526,             0.83216,             0.62914,            0.024998,            0.017961,            0.016813,           0.0090208,           0.0090208,           0.0090208
                 109,            0.018811,            0.014405,           0.0035589,             0.82978,             0.75204,             0.81009,             0.61737,            0.025132,            0.017724,            0.019835,           0.0090031,           0.0090031,           0.0090031
                 110,            0.016949,            0.013806,           0.0032249,             0.75931,              0.7793,              0.8028,             0.60178,            0.025559,            0.019674,            0.020529,           0.0089853,           0.0089853,           0.0089853
                 111,            0.018799,            0.014271,           0.0028349,             0.81378,             0.79389,             0.83424,             0.62843,             0.02552,             0.01866,            0.015104,           0.0089673,           0.0089673,           0.0089673
                 112,            0.018492,            0.013457,           0.0030523,             0.77962,             0.80609,             0.82101,             0.61934,            0.026018,             0.01876,            0.018642,           0.0089492,           0.0089492,           0.0089492
                 113,            0.019225,            0.014139,           0.0032686,             0.81627,             0.76348,             0.82513,             0.62007,            0.026134,            0.018296,            0.016803,            0.008931,            0.008931,            0.008931
                 114,            0.017934,            0.013252,           0.0033421,             0.78687,             0.77619,              0.8116,             0.61439,            0.025107,            0.018017,            0.018302,           0.0089126,           0.0089126,           0.0089126
                 115,            0.018157,            0.013715,           0.0030229,             0.80177,             0.78343,             0.82387,             0.61903,            0.025206,            0.018218,            0.017893,           0.0088941,           0.0088941,           0.0088941
                 116,            0.017869,            0.013474,           0.0032209,             0.83456,             0.74169,             0.81869,             0.60684,            0.025501,            0.018359,            0.018079,           0.0088755,           0.0088755,           0.0088755
                 117,            0.018271,             0.01381,           0.0033408,             0.81388,             0.75707,             0.80881,             0.60743,              0.0259,            0.020064,            0.017006,           0.0088567,           0.0088567,           0.0088567
                 118,            0.017313,            0.013334,           0.0032908,             0.79475,              0.7741,             0.80519,             0.60805,            0.025811,            0.020383,            0.017449,           0.0088378,           0.0088378,           0.0088378
                 119,            0.018524,            0.014017,           0.0031231,             0.77818,             0.75693,             0.80125,             0.60537,            0.026896,             0.01981,            0.019405,           0.0088188,           0.0088188,           0.0088188
                 120,            0.017497,            0.013393,            0.003121,             0.81269,             0.76088,             0.81185,             0.60851,            0.025615,            0.019523,            0.015366,           0.0087996,           0.0087996,           0.0087996
                 121,            0.017663,            0.012306,           0.0029758,             0.83731,             0.74914,             0.81967,             0.61416,            0.026951,            0.018793,            0.016989,           0.0087804,           0.0087804,           0.0087804
