               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.018835,            0.013965,           0.0035567,             0.79306,             0.77295,             0.81677,             0.61397,            0.025196,            0.019192,            0.016834,           0.0090208,           0.0090208,           0.0090208
                 109,            0.017863,            0.014359,           0.0034323,             0.77722,             0.78107,             0.81101,             0.60712,            0.025973,            0.019074,             0.01602,           0.0090031,           0.0090031,           0.0090031
                 110,             0.01912,             0.01406,           0.0034849,              0.7564,             0.79581,             0.81424,             0.60928,            0.025505,            0.018085,            0.019079,           0.0089853,           0.0089853,           0.0089853
                 111,            0.018872,            0.014443,            0.003352,             0.78316,             0.80066,             0.83409,             0.62485,            0.025903,             0.01841,            0.015803,           0.0089673,           0.0089673,           0.0089673
                 112,             0.01876,            0.014553,           0.0035944,             0.82289,             0.76292,             0.83384,              0.6194,             0.02594,            0.018938,            0.017382,           0.0089492,           0.0089492,           0.0089492
                 113,            0.018685,            0.013787,           0.0036845,             0.82885,             0.72204,              0.8068,             0.60082,            0.026642,            0.019889,            0.016857,            0.008931,            0.008931,            0.008931
                 114,            0.017998,            0.013372,           0.0031861,              0.7831,             0.76155,             0.78889,             0.58503,            0.026085,            0.020012,            0.018699,           0.0089126,           0.0089126,           0.0089126
                 115,            0.018367,            0.014743,           0.0040138,             0.81023,             0.73461,             0.80485,             0.60529,            0.025285,            0.018622,            0.017801,           0.0088941,           0.0088941,           0.0088941
                 116,            0.019183,            0.014465,           0.0035735,             0.79289,             0.75258,             0.79334,             0.59469,            0.025266,            0.018345,            0.019443,           0.0088755,           0.0088755,           0.0088755
                 117,            0.018162,            0.013205,           0.0037605,              0.8143,             0.73178,              0.7998,             0.60196,            0.025594,            0.018029,            0.018775,           0.0088567,           0.0088567,           0.0088567
                 118,            0.019128,            0.012729,           0.0035277,             0.80571,             0.77906,             0.81008,             0.60728,            0.025003,            0.017785,            0.016322,           0.0088378,           0.0088378,           0.0088378
