               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.028026,            0.021608,            0.011697,             0.69581,             0.67451,             0.72986,             0.52502,            0.029863,            0.019145,            0.021717,           0.0093589,           0.0093589,           0.0093589
                  88,            0.026652,            0.019514,            0.010283,             0.71617,             0.69685,             0.73879,             0.51072,            0.031049,             0.01893,            0.022392,           0.0093442,           0.0093442,           0.0093442
                  89,            0.026395,            0.022749,            0.012704,             0.73529,             0.56903,             0.66296,             0.47468,            0.029741,            0.019125,            0.027513,           0.0093295,           0.0093295,           0.0093295
                  90,            0.027151,            0.020003,            0.011958,             0.64616,             0.65605,             0.70831,              0.5102,            0.029897,            0.018131,            0.027835,           0.0093146,           0.0093146,           0.0093146
                  91,            0.026459,            0.021639,            0.011397,             0.75142,             0.59687,             0.71227,             0.50972,            0.029601,            0.019099,             0.02429,           0.0092995,           0.0092995,           0.0092995
                  92,            0.027634,            0.022258,            0.011695,             0.74548,             0.61934,             0.73215,             0.53349,            0.029434,            0.018656,            0.023399,           0.0092843,           0.0092843,           0.0092843
                  93,            0.025811,            0.019671,            0.011027,             0.72682,             0.63635,             0.74182,             0.53083,            0.029406,            0.018078,            0.022343,           0.0092689,           0.0092689,           0.0092689
                  94,             0.02617,            0.021649,            0.010447,             0.60464,             0.68139,              0.7059,             0.50715,               0.029,            0.018874,            0.028102,           0.0092534,           0.0092534,           0.0092534
                  95,            0.027108,            0.020739,            0.011327,             0.68664,             0.61785,             0.67798,             0.48552,            0.029838,             0.01939,            0.028728,           0.0092377,           0.0092377,           0.0092377
                  96,            0.027115,             0.02219,            0.011574,             0.71298,             0.60369,             0.69736,             0.49753,            0.029634,            0.018177,            0.026434,           0.0092219,           0.0092219,           0.0092219
                  97,            0.025903,            0.019833,            0.011452,             0.70637,             0.63351,             0.70006,             0.49599,            0.030671,             0.01913,            0.023429,           0.0092059,           0.0092059,           0.0092059
                  98,            0.025379,            0.020067,           0.0097402,             0.73261,             0.65016,             0.72571,             0.51308,            0.030519,            0.018941,             0.02247,           0.0091898,           0.0091898,           0.0091898
                  99,            0.026531,            0.021114,            0.011421,             0.64184,             0.65663,             0.67964,               0.491,            0.030458,            0.019799,            0.026037,           0.0091735,           0.0091735,           0.0091735
